app_name,package_name,review_id,user_name,review_text,rating,review_date
VENTENY,app.fortuna.venteny,0a52de6f-3133-48ee-bbd1-b3277f7bb05a,Septian pratama andika,voucher indomaret sudah nggk pernah ada stok. gak jelas aplikasinya,1,2026-02-23
VENTENY,app.fortuna.venteny,0b1ae94b-52e7-477a-ba44-c5df80c5a0a4,Sulis Wanto,semoga kedepannya lebih baik,4,2026-02-14
VENTENY,app.fortuna.venteny,cb77cef1-493c-4274-9662-44a3cf90be2e,Yanto Yanto,selama beberapa bulan menggunakan aplikasi ini saya kadang menemukan loading yang agak lama terutama di jam jam tertentu tapi tidak sampai error atau crash hanya perlu bersabar sedikit dan biasanya kembali normal dalam waktu tidak terlalu lama,1,2025-10-07
VENTENY,app.fortuna.venteny,e2f64bde-4f27-42d8-a9b0-bc0893c89d4f,Kevin Wibisono,LUAR BIASA Maju terus VENTENY KUU,5,2025-09-29
VENTENY,app.fortuna.venteny,9ebfad74-975e-481d-a246-dabb2e453134,Bagas Albert,gimana cara top ovo udah terhubung di akun dana saya,5,2025-08-08
VENTENY,app.fortuna.venteny,3ac6e189-a4ff-4d61-940b-9df6e35680b7,Nadila Faradiva,"aplikasi kurang bagus, selalu pending.. masa hari kerja nya di batesin anehhh",1,2025-08-02
VENTENY,app.fortuna.venteny,d0519e57-9d1e-4007-a77b-6eb0876bc59b,Aprilia febbi aulina,"tidak kayak dulu, sekarang tidak ada promo voucher idm",1,2025-06-20
VENTENY,app.fortuna.venteny,99ac8d8d-69d0-45ed-9881-6b3d5fb8bcd8,agus sofyan,Lama disbursment nya,1,2025-06-14
VENTENY,app.fortuna.venteny,7c52fa97-434c-4438-9c15-d0c1c0472f38,rieza hafiedal chair,saya kash bintang 5 untuk cs nya yg kooperatif,5,2025-06-04
VENTENY,app.fortuna.venteny,a65b2a3b-5720-4012-97ce-8f9764607522,Anhardo Tampubolon,bagus lanjutkan,5,2025-05-27
