review_id,app_name,package_name,rating,review_date,review_text_original,review_text_clean,skip_flag,skip_category
0a52de6f-3133-48ee-bbd1-b3277f7bb05a,VENTENY,app.fortuna.venteny,1,2026-02-23,voucher indomaret sudah nggk pernah ada stok. gak jelas aplikasinya,voucher indomaret sudah tidak pernah ada stok. tidak jelas aplikasinya,False,TIDAK_SKIP
0b1ae94b-52e7-477a-ba44-c5df80c5a0a4,VENTENY,app.fortuna.venteny,4,2026-02-14,semoga kedepannya lebih baik,mudah-mudahan kedepannya lebih baik,False,TIDAK_SKIP
cb77cef1-493c-4274-9662-44a3cf90be2e,VENTENY,app.fortuna.venteny,1,2025-10-07,selama beberapa bulan menggunakan aplikasi ini saya kadang menemukan loading yang agak lama terutama di jam jam tertentu tapi tidak sampai error atau crash hanya perlu bersabar sedikit dan biasanya kembali normal dalam waktu tidak terlalu lama,selama beberapa bulan menggunakan aplikasi ini saya kadangkala menemukan memuat yang agak lama terutama di jam jam tertentu tapi tidak hingga error atau crash saja butuh bersabar sedikit dan biasanya kembali normal di dalam waktu tidak amat sangat lama,False,TIDAK_SKIP
e2f64bde-4f27-42d8-a9b0-bc0893c89d4f,VENTENY,app.fortuna.venteny,5,2025-09-29,LUAR BIASA Maju terus VENTENY KUU,luar biasa maju terus venteny ku,False,TIDAK_SKIP
9ebfad74-975e-481d-a246-dabb2e453134,VENTENY,app.fortuna.venteny,5,2025-08-08,gimana cara top ovo udah terhubung di akun dana saya,bagaimana cara bagus ovo sudah terhubung di akun pengguna dana saya,False,TIDAK_SKIP
3ac6e189-a4ff-4d61-940b-9df6e35680b7,VENTENY,app.fortuna.venteny,1,2025-08-02,"aplikasi kurang bagus, selalu pending.. masa hari kerja nya di batesin anehhh","aplikasi kurang bagus, selalu pending.. masa hari kerja ya di batasi anehh",False,TIDAK_SKIP
d0519e57-9d1e-4007-a77b-6eb0876bc59b,VENTENY,app.fortuna.venteny,1,2025-06-20,"tidak kayak dulu, sekarang tidak ada promo voucher idm","tidak seperti dulu, sekarang tidak ada promo voucher idm",False,TIDAK_SKIP
99ac8d8d-69d0-45ed-9881-6b3d5fb8bcd8,VENTENY,app.fortuna.venteny,1,2025-06-14,Lama disbursment nya,lama pencairan ya,False,TIDAK_SKIP
7c52fa97-434c-4438-9c15-d0c1c0472f38,VENTENY,app.fortuna.venteny,5,2025-06-04,saya kash bintang 5 untuk cs nya yg kooperatif,saya kasih bintang 5 untuk layanan pelanggan ya yang kooperatif,False,TIDAK_SKIP
a65b2a3b-5720-4012-97ce-8f9764607522,VENTENY,app.fortuna.venteny,5,2025-05-27,bagus lanjutkan,bagus lanjutkan,True,TERLALU_PENDEK
cd3cf158-7c2e-437c-bfa9-2bfcbcced321,VENTENY,app.fortuna.venteny,1,2025-05-25,"Semakin kesini aplikasi malah gk bisa di buka, gimana?","semakin ke sini aplikasi malah tidak bisa di buka, gimana?",False,TIDAK_SKIP
34fd0bca-7488-40a9-a97f-44b9ac17cc01,VENTENY,app.fortuna.venteny,5,2025-05-15,good job💫💫💫💫💫,bagus job,True,TERLALU_PENDEK
936dc5b7-5978-4b8e-a65e-50386a0e8483,VENTENY,app.fortuna.venteny,5,2025-03-24,mantap,mantap,True,TERLALU_PENDEK
78e507f8-8b6b-4716-8df7-84fb1a76537a,VENTENY,app.fortuna.venteny,1,2025-03-17,Hati hati yang mengunakan aplikasi ini. Pembelian sukses dan status vocher sukses tetapi tidaj ada yang masuk. Mengubungi cs katanya sdah msuk. Dan csnya mengakhiri chatm total kerugian saya 2.400.000 saya akan urus ini ke derektorat jedral perlindungan konsumen. Saya d tipu sama aplikasi ini. Perusahaan tmpat saya kerja saya minta putus mitra. Karena merugikan karyawannnya. Saya rugi besar di aplikasi ini. Untuk yg lainnya mohon hati hati karena kantornya juga sudah pindah #EmployeeSuperApp,hati hati yang mengunakan aplikasi ini. pembelian sukses dan status voucher sukses namun tidaj ada yang masuk. mengubungi layanan pelanggan katanya sudah msuk. dan csnya mengakhiri chatm total kerugian saya 2.400.00 saya akan urus ini ke derektorat jedral perlindungan konsumen. saya di tipu sama aplikasi ini. perseroan tmpat saya kerja saya meminta putus mitra. karena merugikan karyawannya. saya rugi besar di aplikasi ini. untuk yang lainnya mohon hati hati karena kantornya juga sudah pindah,False,TIDAK_SKIP
