review_id,rating,teks_inggris_asli,teks_hasil_terjemahan
13649637-7e2a-443c-b037-21d55271f8f9,5,Good apps,Aplikasi bagus
fe094ace-390b-4c95-aa32-38037545c75d,5,The best apps,Aplikasi terbaik
1aaed717-f7c6-4e3e-93a1-2fcde1c913c7,5,this solution to karyawan indonesi,solusi ini untuk karyawan indonesia
5d6a153d-0756-45aa-a194-a23e3679fa22,1,"BELI TOKEN, SALDO TERPOTONG TOKENNYA GA ADA MASUK, SALDONYA KEMANA GA BALIK 😭","BELI TOKEN, SALDO TERPOTONG TOKENNYA GA ADA MASUK, SALDONYA KEMANA GA BALIK 😭"
8ef40bbd-30f2-48be-a5ad-a6d4f9c04d91,5,"Venteny is indeed a very good app. As an entrepreneur, I can provide special training to my employees, to improve their skills through the V-academy feature. Thank you Venteny for helping my employees to grow even more.","Venteny memang aplikasi yang sangat bagus. Sebagai seorang wirausaha, saya dapat memberikan pelatihan khusus kepada karyawan saya, untuk meningkatkan keterampilannya melalui fitur V-academy. Terima kasih Venteny karena telah membantu karyawan saya untuk lebih berkembang."
8e2f0ae2-ffdf-4043-8f80-a95169ef77dd,5,"The application collaborates with many merchants, making it easier for me and my family to make payment transactions, such as booking hotels, or purchasing airline tickets. Thank you to Venteny for providing this complete service and facility.","Aplikasi ini bekerja sama dengan banyak merchant sehingga memudahkan saya dan keluarga dalam melakukan transaksi pembayaran, seperti pemesanan hotel, atau pembelian tiket pesawat. Terima kasih kepada Venteny yang telah memberikan pelayanan dan fasilitas lengkap ini."
7569a465-85a1-40f4-8cdc-5b9e6073c389,5,"Venteny is very helpful for my employees. Provides various excellent features that are able to support several office activities. In addition, the application is quite informative.","Venteny sangat membantu karyawan saya. Menyediakan berbagai fitur unggulan yang mampu menunjang beberapa aktivitas perkantoran. Selain itu, aplikasi ini cukup informatif."
877efcf2-612c-4a38-93d2-c70b94938ca9,5,"Paying monthly bpjs becomes more practical and more affordable with weekly discounts, thanks Venteny.","Bayar bpj bulanan jadi lebih praktis dan terjangkau dengan diskon mingguan, terima kasih Venteny."
cd9d79a4-0833-481c-82bb-ef97a1ab5502,5,"Recommended apk, joss pokoknya 👍🏻",Recomended apknya joss pokoknya 👍🏻
75fb73e8-f567-4a18-b1c0-48cb62c75307,5,its great,itu bagus
76b5f3b0-5052-44e4-82e8-480187bb66ed,5,good aplication,aplikasi yang bagus
e53b2bd4-e9a1-4fec-8cde-c56317efcee6,5,Is The Best,Adalah Yang Terbaik
6d12c159-4d10-4440-b779-0d07e0f39185,1,BIAYA ADMIN NYA MAHAL..🥵 SETIAP ADA TRANSAKSI TIDAK ADA INFORMASI & NOTIF PEMBERITAHUAN MENGENAI SALDO & LIMIT SERTA POTONGAN.. 🥵 GAK JELAS DAN GAK ADA INFORMASI YANG DETAIL MENGENAI TRANSAKSI IN OUT NYA..🥵,BIAYA ADMIN NYA MAHAL..🥵 SETIAP ADA TRANSAKSI TIDAK ADA INFORMASI & NOTIF PEMBERITAHUAN MENGENAI SALDO & LIMIT SERTA POTONGAN.. 🥵 GAK JELAS DAN GAK ADA INFORMASI YANG DETAIL MENGENAI TRANSAKSI IN OUT NYA..🥵
619b72b9-4938-4010-8a6b-9b8f4d184350,5,recommended,direkomendasikan
651884e0-413a-404b-b3c9-242e0756b3d9,5,The best lah,Yang terbaik lah
05bdae90-eda2-451e-aa43-58ebbea0438e,5,The best app,Aplikasi terbaik
360c3f73-2ff4-4e8e-b8c1-cb8a4e4fc506,5,Prosesnya cpeat sngat wort it,Prosesnya cpeat sngat wort it
b0393036-dcbd-4a67-a7b0-b350085b608a,5,"nice application, helpful","aplikasi bagus, bermanfaat"
a644d809-5beb-4fa6-b193-7d3fc6f57089,5,membantu banget iss the best,membantu banget iss yang terbaik
339cc2b2-172e-4239-bec5-b4c2feb87406,5,paywatch is the best👍💯,jam tangan berbayar adalah yang terbaik👍💯
0b8cc032-a50a-4da8-8aff-978246ba895d,5,Good Aplication,Aplikasi yang Bagus
2d17477e-b8d0-4e0f-9a3d-a75af29a5909,2,akhir2 ini wagely sering error,akhir2 ini upah sering error
3d6acc5e-ffbd-47e2-b500-bbc4c592f3b1,1,TIDAK EFEKTIF UNTUK KAMI PARA SATPAM YAYASAN/OUTSOURCHING.,TIDAK EFEKTIF UNTUK KAMI PARA SATPAM YAYASAN/OUTSOURCHING.
292a78fa-3640-4920-adc8-1d0006997432,5,Good Aplication.,Aplikasi yang Bagus.
ff394b95-205b-4651-8786-5e7219ac9609,5,Good app,Aplikasi bagus
caf063cc-03d8-4a5a-9bf7-821b43259197,1,Unlimited loading,Pemuatan tanpa batas
ce3df7ff-10a1-402f-bab1-ec00a70142e7,5,Efisiensi tinggi thanks to Wagely,Efisiensi tinggi berkat Wagely
a662b82e-383e-451a-b66d-af675c953b4d,5,Awesome app,Aplikasi luar biasa
4ba19bc2-0896-46a1-b320-3bb707dd3234,1,Bener bener slow respon bgt yahh tim support nya,Bener bener slow respon bgt yahh tim support nya
57d0ce4d-3c89-48b9-a912-d668aeeff126,5,Worth it...😁,Layak...😁
a64abd06-91ce-4d54-b79d-3c35c713e5e9,4,The best aplication,Aplikasi terbaik
