review_id,app_name,review_text_original,review_text_clean,kunci
3917244a-b089-4261-813d-f11c00f2e868,GajiGesa,Aplikasi yang sangat membantu,aplikasi yang sangat membantu,aplikasi yang sangat membantu
1609eb84-e1ba-445d-840d-c08b64eb5ca8,GajiGesa,Sangat membantu Terima kasih,sangat membantu terima kasih,sangat membantu terima kasih
bd4a1b08-a3f9-4f31-a34e-ada07674557f,GajiGesa,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
ebc23267-a3c1-4e77-8af8-24cde0c8e02c,Mekari Flex,saya menunggu balasan dari customer service,saya menunggu balasan dari customer service,saya menunggu balasan dari customer service
911405ea-68f2-44c5-b212-d5c1e2f35eb9,Mekari Flex,Aplikasi ga jelas,aplikasi tidak jelas,aplikasi tidak jelas
b089c14a-760d-4308-bfa7-8900eec5a9be,Mekari Flex,Sangat ngebantu sekali,sangat membantu sekali,sangat membantu sekali
f3ab0755-fb90-406d-814d-2e7118818270,Mekari Flex,Sangat membantu sekali 🙏,sangat membantu sekali,sangat membantu sekali
1d244fb2-91f8-476d-a0df-e2103aaeae60,Mekari Flex,aplikasi yg sangat membantu 👌🙏,aplikasi yang sangat membantu,aplikasi yang sangat membantu
c0f40d93-1922-43c3-a1fe-48b0d3ee1ebf,Mekari Flex,aplikasi yang sangat membantu,aplikasi yang sangat membantu,aplikasi yang sangat membantu
fd6451a8-2687-4a36-b564-ed62e56a20f0,Mekari Flex,sangat membantu disaat urgent,sangat membantu disaat urgent,sangat membantu disaat urgent
3e2fc4c5-8496-4178-9ff7-624ac4607964,Mekari Flex,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
0b8cc032-a50a-4da8-8aff-978246ba895d,Paywatch,Good Aplication,aplikasi yang bagus,aplikasi yang bagus
0bb93ec9-3cd9-4d1b-a2e2-0a4787351738,Paywatch,sangat membantu karyawan,sangat membantu karyawan,sangat membantu karyawan
7cdc4211-de7e-4e8c-a361-41e8dd92389a,Paywatch,aplikasi yang sangat membantu,aplikasi yang sangat membantu,aplikasi yang sangat membantu
494a8c52-3928-4a60-a5c0-49efcf87676d,Paywatch,mudah dan cepat,gampang dan cepat,gampang dan cepat
deb2e25a-7e6c-4389-8ff4-fa06305c59b0,Paywatch,sangat membatu sekali,sangat membantu sekali,sangat membantu sekali
d526daee-8543-45d2-aea8-8db5febffc14,Paywatch,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
c98fd9b8-1e2f-4d8a-8f77-6b77fefacdf7,Paywatch,bagus sangat membantu,bagus sangat membantu,bagus sangat membantu
11f3707f-01d9-4b3d-af71-57fd0aa67dd2,Paywatch,sangat membantu kami,sangat membantu kami,sangat membantu kami
458ddcae-739b-4c85-99f7-70dc62898e03,Paywatch,terimakasih sangat membantu,terima kasih sangat membantu,terima kasih sangat membantu
64900279-e515-44f6-a6bf-38771cc81fc9,VENTENY,Aplikasi sangat membantu sekali,aplikasi sangat membantu sekali,aplikasi sangat membantu sekali
b7395ce2-c8a0-4bb6-804b-9129fc2e839f,VENTENY,Aplikasi yang bagus,aplikasi yang bagus,aplikasi yang bagus
e758fc32-d047-4d5e-886b-78488e4f5695,VENTENY,Sangat mudah dan membantu 👌,sangat gampang dan membantu,sangat gampang dan membantu
c198f187-47d7-4123-bfcc-7b85a5b2d6f1,Wagely,Sangat membantu. Thanks,sangat membantu. terima kasih,sangat membantu. terima kasih
fe356ff0-fc0c-47c2-b72a-c7967a68384b,Wagely,aplikasi ga jelas,aplikasi tidak jelas,aplikasi tidak jelas
bceafe4b-a8e5-477d-bd98-cba1142ee42b,Wagely,aplikasi gak jelas,aplikasi tidak jelas,aplikasi tidak jelas
c037735a-dd74-48bd-8b51-d42b53809785,Wagely,apk gaje,aplikasi tidak jelas,aplikasi tidak jelas
9db38fb7-d644-4039-9d15-bf3b4c5ab1e4,Wagely,Aplikasi ini sangat membantu sekali,aplikasi ini sangat membantu sekali,aplikasi ini sangat membantu sekali
f2abb01a-2158-4bfa-a5ed-f28a8882d202,Wagely,Trimakasih sangat membantu,terima kasih sangat membantu,terima kasih sangat membantu
72a04032-4ea5-48e1-9cdc-9f3127aa28d5,Wagely,Sangat membantu sekali....,sangat membantu sekali..,sangat membantu sekali..
429d317b-07d9-4729-90a0-54ccf969b5e2,Wagely,Terimakasih wagely 🙏,terima kasih wagely,terima kasih wagely
ca0568e0-0301-4f04-9a66-2bd5d875b190,Wagely,Bagus dan bermanfaat,bagus dan bermanfaat,bagus dan bermanfaat
5a8c0111-0d0a-4bc4-93a7-93f8183d5137,Wagely,Terimakasih wagely,terima kasih wagely,terima kasih wagely
5d1c0d7a-568b-41d6-a221-3f5811fb8cbf,Wagely,Aplikasi yg bagus,aplikasi yang bagus,aplikasi yang bagus
a473aa2f-542b-4535-935e-6bb1522ffa2e,Wagely,Sangat membantu sekali 🥰🥰🥰🥰❤️,sangat membantu sekali,sangat membantu sekali
94e9736e-e489-40fa-bd2e-7649601406ed,Wagely,Sangat membantu saya,sangat membantu saya,sangat membantu saya
9578eb0f-763a-42b6-be49-017f53679a0a,Wagely,Sangat bagus sekali,sangat bagus sekali,sangat bagus sekali
5d2955bc-13cb-4b2b-a727-d76ab2136508,Wagely,Sngat membantu sekali,sangat membantu sekali,sangat membantu sekali
3cb1e935-b8f2-4494-be7a-6040283050ca,Wagely,Baik dan membantu,baik dan membantu,baik dan membantu
e70b46b4-672d-44ac-a7b2-5dbd07ddee28,Wagely,Terima kasih sangat membantu,terima kasih sangat membantu,terima kasih sangat membantu
1570062e-c749-43d4-a628-27c5998f45d3,Wagely,Sangat membantu terimakasih,sangat membantu terima kasih,sangat membantu terima kasih
739f7a96-ea2c-4cbf-9c6f-7d48bd01279d,Wagely,Aplikasi yg sangat membantu🤗,aplikasi yang sangat membantu,aplikasi yang sangat membantu
f38a73d2-8e17-471f-b048-9697cea66bc6,Wagely,Sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
3a1a4b92-52f5-4709-9164-aba1bcbcae5b,Wagely,Bagus sanggat membantu,bagus sangat membantu,bagus sangat membantu
