review_id,app_name,rating,review_date,review_text_original,review_text_clean,aspect_category,sentiment
b9c54e11-a4cc-4c18-bf2b-6595ca110cec,AyoKasbon,5,,biaya admin berbeda tergantung jumlah yang ditarik,biaya admin berbeda tergantung jumlah yang ditarik,Biaya/Potongan,netral
9d0176a5-70e6-4005-8918-d8f7f1702f3b,AyoKasbon,1,,tolong batalkan pendaftaran saya dan jangan hubungin hrd trimkasih,mohon batalkan pendaftaran saya dan jangan hubungin hrd trimkasih,Customer Service,negatif
a56d3668-9e21-4709-833b-30a06cd61546,AyoKasbon,1,,Wah ini ilegal selesai isi formulir mau masuk lagi gak bisa.. laporkan ke pihak yang berwajib,wah ini ilegal selesai isi formulir mau masuk lagi tidak bisa.. laporkan ke pihak yang berwajib,Keandalan Sistem,negatif
3fd04ea4-c633-49e7-b8bf-0c086a18e7ef,AyoKasbon,1,,lol mau daftar aja gak bisa sandi salah baru kali ini download!!!!,lol mau mendaftar saja tidak bisa kata sandi salah baru kali ini ini download!!,Keandalan Sistem,negatif
9e120517-b36f-4c73-9177-94b1f04f36e8,AyoKasbon,1,,"apk tolol , apk bodoh yg buat bodoh , apk pendusta jangan download!!!","aplikasi tolol , aplikasi bodoh yang untuk bodoh , aplikasi pendusta jangan download!!",Keandalan Sistem,negatif
b91154d5-3e98-4ef1-813e-508d633b7e6e,AyoKasbon,5,,"Cocok buat karyawan yg membutuhkan, ayo smua download ayo kasbon","cocok untuk karyawan yang membutuhkan, ayo semua mengunduh ayo kasbon",Keandalan Sistem,positif
f11e853e-43cf-495d-bcb8-414de141fb3b,AyoKasbon,1,,Gak pernah cair daftar terus cair kaga,tidak pernah cair mendaftar terus cair kagak,Kecepatan Pencairan,negatif
89b4011d-6081-4f70-964d-560a820d33bc,AyoKasbon,1,,tolong Hapus data saya pada tanggal 29.06.25 Apk ga jelas Udh daftar tetap ga masuk masuk jangan sampai anda salah gunakan data saya cukup sekian,mohon menghapus data saya kepada tarikh 29.06.25 aplikasi tidak jelas sudah mendaftar tetap tidak masuk masuk jangan hingga saudara salah gunakan data saya cukup sekian,Kecepatan Pencairan,negatif
a868c021-da01-4a2f-8185-2bc527ca9125,AyoKasbon,1,,"apk gak jelas tolol, pengajuan ribet banget","aplikasi tidak jelas tolol, pengajuan rumit banget",Kecepatan Pencairan,negatif
3a3aeeaa-93e4-4ee9-ba6e-c4f960b882ec,AyoKasbon,5,,saya mengajukan penarikan sebesar 200 ribu,saya mengajukan penarikan sebesar 200 ribu,Kecepatan Pencairan,netral
68d7092c-6c0c-4557-a7ed-c16be09a00f7,AyoKasbon,5,,Aplikasi Mudah Di Acc,aplikasi gampang di menyetujui,Kecepatan Pencairan,positif
5448e95b-f569-445d-a944-47ee9c6bc0c6,AyoKasbon,1,,kok g bisadaftar?,mengapa tidak bisa daftar?,Kemudahan Penggunaan,negatif
120c31bc-2e32-469d-a9fb-2f85c22d190e,AyoKasbon,1,,"Aplikasi gak jelas, cuma ngambil data orang saja. Masa sudah daftar kok gak bisa masuk. Tgl 3 Juli 2024 Saya hapus aplikasi, jangan menyalah gunakan data saya ya","aplikasi tidak jelas, hanya mengambil data manusia saja. masa sudah mendaftar mengapa tidak bisa masuk. tanggal 3 juli 2024 saya menghapus aplikasi, jangan menyalah gunakan data saya ya",Kemudahan Penggunaan,negatif
86d71c50-3731-453e-9fe9-7e1753afee89,AyoKasbon,1,,"Gimana daftar nya ?😂😂😂 Hanya ada menu login,,, mau login kty nomor tdk terdaftar","bagaimana mendaftar ya ? saja ada menu login,, mau login kty nomor tidak terdaftar",Kemudahan Penggunaan,negatif
f6687dfc-9a2d-45bb-8b9a-fac6e887bc29,AyoKasbon,1,,Aflikasi Gak Jelas,aflikasi tidak jelas,Kemudahan Penggunaan,negatif
4db0b322-ae8e-4e1e-81e2-98082d0a3976,AyoKasbon,1,,apk tolol udah masukin data malah gabisa dipake,aplikasi tolol sudah memasukkan data malah tidak bisa dipakai,Kemudahan Penggunaan,negatif
cb1483e7-df7b-438e-9ba1-ef0bd4678e70,AyoKasbon,1,,Aplikasi jlek taaik,aplikasi jelek,Kemudahan Penggunaan,negatif
2fa8959b-7aa1-46f6-bc2a-0cf4032dd85d,AyoKasbon,1,,Aplikasi gak jelas pembohongan publik saya akan laporkan kepada pihak yang berwajib kalau anda macem macem ke saya😏😏😏😏😏😏😏,aplikasi tidak jelas pembohongan publik saya akan laporkan kepada pihak yang berwajib kalau saudara macam macam ke saya,Kemudahan Penggunaan,negatif
